Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|    coriolanus|  215| 930|
|    conscience|  214| 931|
|          gate|  214| 932|
|        wished|  214| 933|
|        behold|  214| 934|
|          soft|  214| 935|
|         titus|  214| 936|
|  acquaintance|  213| 937|
|          wine|  213| 938|
|        simple|  213| 939|
|     excellent|  213| 940|
|          base|  213| 941|
|         lover|  213| 942|
|        strike|  212| 943|
|         equal|  212| 944|
|         taste|  212| 945|
|         biddy|  212| 946|
|         noise|  211| 947|
|          stop|  211| 948|
|          died|  211| 949|
|       revenge|  211| 950|
|         allow|  211| 951|
|     according|  210| 952|
|       fairfax|  210| 953|
|          weep|  210| 954|
|        angelo|  210| 955|
|          safe|  209| 956|
|          wall|  209| 957|
|   opportunity|  209| 958|
|          lucy|  209| 959|
|         yield|  208| 960|
|         deeds|  208| 961|
|          moon|  208| 962|
|      governor|  208| 963|
|      bardolph|  208| 964|
|     character|  207| 965|
|         early|  207| 966|
|        remain|  207| 967|
|       jaggers|  207| 968|
|           inn|  207| 969|
|       colonel|  207| 970|
|     adventure|  207| 971|
|         merry|  207| 972|
|     petruchio|  207| 973|
|          toby|  207| 974|
|        number|  206| 975|
|        nobody|  206| 976|
|        battle|  206| 977|
|         brave|  206| 978|
|       warrant|  206| 979|
|          drew|  205| 980|
|          shut|  205| 981|
|       confess|  205| 982|
|          sing|  205| 983|
|            ha|  205| 984|
|         pride|  204| 985|
|       citizen|  204| 986|
|      standing|  203| 987|
|        notice|  203| 988|
|        forget|  203| 989|
|         flesh|  203| 990|
|          sons|  203| 991|
|      clarence|  203| 992|
|        hector|  202| 993|
|       bastard|  202| 994|
|         friar|  202| 995|
|        arcite|  202| 996|
|         angry|  201| 997|
|       sitting|  201| 998|
|          oath|  201| 999|
|       reached|  201|1000|
|        likely|  201|1001|
|        report|  200|1002|
|       talking|  200|1003|
|     agreement|  200|1004|
|          hang|  200|1005|
|        mighty|  199|1006|
|        pompey|  199|1007|
|      benedick|  199|1008|
|          host|  198|1009|
|      jennings|  198|1010|
|      kindness|  197|1011|
|           yea|  197|1012|
|       calling|  196|1013|
|          bold|  196|1014|
|         dress|  196|1015|
|      creature|  196|1016|
|     companion|  196|1017|
|         quick|  196|1018|
|          deny|  196|1019|
|       kingdom|  196|1020|
|    willoughby|  196|1021|
|        juliet|  196|1022|
|      menenius|  196|1023|
|       berowne|  196|1024|
|       manners|  195|1025|
|      judgment|  195|1026|
|          weak|  194|1027|
|       meaning|  194|1028|
|         bosom|  194|1029|
|       changed|  194|1030|
|          wild|  194|1031|
|       delight|  194|1032|
|       leaving|  194|1033|
|  satisfaction|  194|1034|
|          gain|  194|1035|
|        helena|  194|1036|
|     beautiful|  193|1037|
|       waiting|  193|1038|
|         laugh|  193|1039|
|          dull|  193|1040|
|        became|  193|1041|
|          grow|  193|1042|
|        pistol|  193|1043|
|          kent|  193|1044|
|     churchill|  193|1045|
|      interest|  192|1046|
|          deed|  192|1047|
|      resolved|  191|1048|
|        single|  191|1049|
|      expected|  191|1050|
|    acquainted|  191|1051|
|        length|  191|1052|
|    attendants|  191|1053|
|        attend|  190|1054|
|        stands|  190|1055|
|        silent|  190|1056|
|           woe|  190|1057|
|          harm|  189|1058|
|        spoken|  189|1059|
|       conduct|  189|1060|
|       consent|  189|1061|
|        humour|  189|1062|
|      directly|  188|1063|
|          rise|  188|1064|
|         reply|  188|1065|
|          hurt|  188|1066|
|        wealth|  188|1067|
|         tried|  187|1068|
|         spent|  187|1069|
|       wouldst|  187|1070|
|        church|  186|1071|
|        broken|  186|1072|
|            iv|  186|1073|
|        easily|  186|1074|
|      entirely|  186|1075|
|         grant|  186|1076|
|       instead|  185|1077|
|          fact|  185|1078|
|          fond|  185|1079|
